longitude,latitude,population,households,housing_median_age,median_income,ocean_proximity,population_per_household,bedrooms_per_household,rooms_per_household,median_house_value
-122.28,37.83,901.0,403.0,52.0,1.4103,NEAR BAY,2.235732009925558,0.25810721376571805,3.7493796526054592,103900.0
-122.26,37.83,689.0,309.0,52.0,3.48,NEAR BAY,2.2297734627831716,0.22448979591836735,4.757281553398058,191400.0
-122.26,37.83,1377.0,696.0,52.0,2.5898,NEAR BAY,1.978448275862069,0.29399671052631576,3.4942528735632186,176000.0
-122.26,37.83,946.0,395.0,52.0,2.0978,NEAR BAY,2.3949367088607594,0.25165165165165165,4.215189873417722,155400.0
-122.26,37.83,517.0,249.0,51.0,1.2852,NEAR BAY,2.076305220883534,0.33226495726495725,3.7590361445783134,150000.0
-122.26,37.84,462.0,189.0,49.0,1.025,NEAR BAY,2.4444444444444446,0.28330995792426367,3.7724867724867726,118800.0
-122.26,37.84,467.0,198.0,52.0,3.9643,NEAR BAY,2.3585858585858586,0.21263157894736842,4.797979797979798,188800.0
-122.26,37.83,660.0,292.0,52.0,3.0125,NEAR BAY,2.26027397260274,0.21552321552321552,4.941780821917808,184400.0
-122.26,37.83,718.0,382.0,52.0,2.6768,NEAR BAY,1.8795811518324608,0.2536231884057971,4.335078534031414,182300.0
-122.26,37.83,616.0,304.0,50.0,2.026,NEAR BAY,2.026315789473684,0.2862222222222222,3.700657894736842,142500.0
-122.27,37.82,558.0,253.0,43.0,1.7348,NEAR BAY,2.205533596837945,0.3098311817279047,3.9802371541501977,137500.0
-122.26,37.82,423.0,160.0,40.0,0.9506,NEAR BAY,2.64375,0.3125,3.9,187500.0
-122.27,37.82,700.0,352.0,40.0,1.775,NEAR BAY,1.9886363636363635,0.3964059196617336,2.6875,112500.0
-122.27,37.82,735.0,438.0,21.0,0.9218,NEAR BAY,1.678082191780822,0.5055803571428571,2.045662100456621,171900.0
-122.27,37.82,1061.0,407.0,43.0,1.5045,NEAR BAY,2.6068796068796067,0.24411134903640258,4.58968058968059,93800.0
-122.27,37.82,1959.0,720.0,41.0,1.1108,NEAR BAY,2.720833333333333,0.26482458863706926,4.473611111111111,97500.0
-122.27,37.82,1162.0,400.0,52.0,1.2475,NEAR BAY,2.905,0.27975460122699386,4.075,104200.0
-122.28,37.82,701.0,233.0,52.0,1.6098,NEAR BAY,3.0085836909871246,0.20085470085470086,5.021459227467811,87500.0
-122.28,37.82,576.0,220.0,52.0,1.4113,NEAR BAY,2.618181818181818,0.2571428571428571,4.295454545454546,83100.0
-122.28,37.82,622.0,259.0,52.0,1.5057,NEAR BAY,2.4015444015444016,0.23263327948303716,4.77992277992278,87500.0
-122.28,37.82,728.0,244.0,52.0,0.8172,NEAR BAY,2.9836065573770494,0.22498321020819342,6.102459016393443,85300.0
-122.28,37.82,1074.0,304.0,52.0,1.2171,NEAR BAY,3.5328947368421053,0.24585436193222782,4.5625,80300.0
-122.29,37.82,94.0,57.0,2.0,2.5625,NEAR BAY,1.6491228070175439,0.2721518987341772,2.7719298245614037,60000.0
-122.29,37.83,554.0,187.0,52.0,3.3929,NEAR BAY,2.962566844919786,0.18822479928635147,5.994652406417113,75700.0
-122.29,37.82,86.0,23.0,49.0,6.1183,NEAR BAY,3.739130434782609,0.21481481481481482,5.869565217391305,75000.0
-122.29,37.81,377.0,122.0,50.0,0.9011,NEAR BAY,3.0901639344262297,0.25,6.229508196721311,86100.0
-122.3,37.81,521.0,159.0,52.0,1.1909999999999998,NEAR BAY,3.2767295597484276,0.19362745098039216,7.69811320754717,76100.0
-122.3,37.81,392.0,133.0,48.0,2.5938,NEAR BAY,2.9473684210526314,0.21980676328502416,6.225563909774436,73500.0
-122.3,37.81,604.0,187.0,52.0,1.1667,NEAR BAY,3.229946524064171,0.20693069306930692,5.401069518716578,78400.0
-122.3,37.81,788.0,332.0,48.0,0.8056,NEAR BAY,2.3734939759036147,0.24329896907216494,4.382530120481928,84400.0
-122.29,37.8,492.0,147.0,52.0,2.6094,NEAR BAY,3.3469387755102042,0.23758519961051608,6.98639455782313,81300.0
-122.3,37.81,274.0,82.0,52.0,1.8516,NEAR BAY,3.341463414634146,0.19055944055944055,6.975609756097561,85000.0
-122.29,37.81,1823.0,611.0,46.0,0.9802,NEAR BAY,2.983633387888707,0.22991788646911818,4.584288052373159,129200.0
-122.29,37.81,392.0,127.0,26.0,1.7719,NEAR BAY,3.0866141732283463,0.19791666666666666,6.047244094488189,82500.0
-122.29,37.81,582.0,277.0,46.0,0.7286,NEAR BAY,2.101083032490975,0.3176470588235294,3.375451263537906,95200.0
-122.29,37.81,560.0,152.0,49.0,1.75,NEAR BAY,3.6842105263157894,0.24170616113744076,5.552631578947368,75000.0
-122.29,37.81,18.0,7.0,46.0,0.4999,NEAR BAY,2.5714285714285716,0.3333333333333333,1.7142857142857142,67500.0
-122.29,37.81,290.0,133.0,20.0,2.483,NEAR BAY,2.180451127819549,0.19281437125748502,6.2781954887218046,137500.0
-122.28,37.81,762.0,439.0,17.0,0.9241,NEAR BAY,1.7357630979498861,0.3734842360549717,2.8177676537585423,177500.0
-122.28,37.81,1236.0,509.0,36.0,2.4464,NEAR BAY,2.4282907662082516,0.1928620452985587,5.724950884086444,102100.0
-122.28,37.81,721.0,207.0,19.0,1.1111,NEAR BAY,3.4830917874396135,0.20132560066280034,5.830917874396135,108300.0
-122.29,37.81,1054.0,325.0,23.0,0.8026,NEAR BAY,3.243076923076923,0.21432664756446992,5.369230769230769,112500.0
-122.28,37.8,344.0,155.0,38.0,2.0114,NEAR BAY,2.2193548387096773,0.2573099415204678,4.412903225806452,131300.0
-122.28,37.81,609.0,289.0,17.0,1.5,NEAR BAY,2.1072664359861593,0.31277056277056275,3.1972318339100347,162500.0
-122.27,37.81,183.0,56.0,52.0,1.1667,NEAR BAY,3.267857142857143,0.26666666666666666,3.75,112500.0
-122.28,37.81,200.0,87.0,52.0,1.5208,NEAR BAY,2.2988505747126435,0.2852941176470588,3.9080459770114944,112500.0
-122.28,37.81,346.0,155.0,52.0,0.8075,NEAR BAY,2.232258064516129,0.42487046632124353,2.490322580645161,137500.0
-122.28,37.81,467.0,169.0,35.0,1.8088,NEAR BAY,2.7633136094674557,0.1940928270042194,5.609467455621302,118800.0
-122.28,37.81,377.0,115.0,52.0,2.4083,NEAR BAY,3.2782608695652176,0.18499353169469598,6.721739130434782,98200.0
-122.27,37.81,582.0,380.0,40.0,0.977,NEAR BAY,1.5315789473684212,0.5125,2.3157894736842106,118800.0
-122.27,37.81,546.0,330.0,10.0,0.76,NEAR BAY,1.6545454545454545,0.3977142857142857,2.6515151515151514,162500.0
-122.27,37.8,125.0,39.0,10.0,0.9722,NEAR BAY,3.2051282051282053,0.4,2.6923076923076925,137500.0
-122.27,37.8,396.0,85.0,52.0,1.2434,NEAR BAY,4.658823529411765,0.3132530120481928,2.929411764705882,500001.0
-122.27,37.8,800.0,362.0,16.0,2.0938,NEAR BAY,2.2099447513812156,0.39436619718309857,2.74585635359116,162500.0
-122.28,37.8,904.0,88.0,52.0,0.8668,NEAR BAY,10.272727272727273,0.4046511627906977,2.4431818181818183,137500.0
-122.28,37.8,191.0,34.0,52.0,0.75,NEAR BAY,5.617647058823529,0.3229166666666667,2.823529411764706,162500.0
-122.27,37.79,718.0,302.0,27.0,2.6354,NEAR BAY,2.377483443708609,0.3289099526066351,3.493377483443709,187500.0
-122.27,37.8,1327.0,467.0,39.0,1.8477,NEAR BAY,2.841541755888651,0.363265306122449,3.6723768736616704,179200.0
-122.26,37.8,3469.0,2323.0,36.0,2.0096,NEAR BAY,1.493327593628928,0.4648151623193845,2.294016358157555,130000.0
-122.26,37.82,2048.0,1180.0,31.0,2.8345,NEAR BAY,1.735593220338983,0.28959965187119235,3.8949152542372882,183800.0
-122.26,37.81,202.0,91.0,29.0,2.0062,NEAR BAY,2.21978021978022,0.3194029850746269,3.681318681318681,125000.0
-122.26,37.82,2024.0,1250.0,22.0,1.2185,NEAR BAY,1.6192,0.3449212384573601,2.9456,170000.0
-122.26,37.82,1838.0,980.0,37.0,2.6104,NEAR BAY,1.8755102040816327,0.29865125240847784,3.7071428571428573,193100.0
-122.25,37.81,2304.0,1250.0,29.0,2.4912,NEAR BAY,1.8432,0.30369415807560135,3.7248,257800.0
-122.25,37.81,2563.0,1497.0,28.0,3.2177,NEAR BAY,1.7120908483633934,0.27609369617636925,3.8784235136940546,273400.0
-122.25,37.81,389.0,228.0,39.0,3.125,NEAR BAY,1.706140350877193,0.28337236533957844,3.745614035087719,237500.0
-122.25,37.81,895.0,613.0,52.0,2.5795,NEAR BAY,1.4600326264274062,0.3252900232018561,3.5154975530179446,350000.0
-122.26,37.81,2689.0,1789.0,34.0,2.8406,NEAR BAY,1.5030743432084963,0.3260091977516607,3.281721632196758,335700.0
-122.24,37.82,674.0,244.0,52.0,4.9306,NEAR BAY,2.762295081967213,0.14910536779324055,6.184426229508197,313400.0
-122.24,37.81,709.0,456.0,52.0,3.2727,NEAR BAY,1.5548245614035088,0.23790720631786771,4.442982456140351,268500.0
-122.25,37.81,686.0,422.0,52.0,3.1691,NEAR BAY,1.6255924170616114,0.2616609783845279,4.165876777251185,259400.0
-122.24,37.82,1444.0,718.0,52.0,3.9,NEAR BAY,2.011142061281337,0.21574260270037346,4.848189415041783,275700.0
-122.25,37.82,1520.0,802.0,28.0,3.9063,NEAR BAY,1.8952618453865338,0.25621816002397363,4.160847880299252,225000.0
-122.25,37.82,550.0,253.0,52.0,5.0917,NEAR BAY,2.1739130434782608,0.2029494382022472,5.628458498023716,262500.0
-122.25,37.82,1806.0,1022.0,32.0,2.6429,NEAR BAY,1.7671232876712328,0.28826463638750327,3.7270058708414875,218500.0
-122.25,37.82,1749.0,1217.0,26.0,3.0233,NEAR BAY,1.4371405094494658,0.30209648901237685,3.2530813475760065,255000.0
-122.25,37.83,939.0,519.0,52.0,3.1484,NEAR BAY,1.8092485549132948,0.23526936026936027,4.578034682080925,224100.0
-122.25,37.83,675.0,422.0,35.0,3.4722,NEAR BAY,1.599526066350711,0.2653440793552387,3.822274881516588,243100.0
-122.25,37.83,534.0,291.0,52.0,3.1429,NEAR BAY,1.8350515463917525,0.22439405785770133,4.3951890034364265,231600.0
-122.25,37.83,2558.0,1661.0,28.0,2.4234,NEAR BAY,1.5400361228175798,0.34846674631620866,3.0234798314268514,218500.0
-122.25,37.83,1786.0,1037.0,52.0,3.0897,NEAR BAY,1.7222757955641272,0.2637231503579952,4.040501446480231,234100.0
-122.23,37.84,970.0,373.0,50.0,5.8596,NEAR BAY,2.6005361930294906,0.15864811133200796,6.742627345844504,327600.0
-122.23,37.84,1098.0,485.0,47.0,5.2868,NEAR BAY,2.263917525773196,0.14299212598425196,6.546391752577319,347600.0
-122.24,37.83,794.0,376.0,41.0,5.956,NEAR BAY,2.1117021276595747,0.15760869565217392,6.851063829787234,366100.0
-122.24,37.85,98.0,47.0,37.0,4.9643,NEAR BAY,2.0851063829787235,0.16167664670658682,7.1063829787234045,335000.0
-122.23,37.85,1061.0,403.0,52.0,6.3434,NEAR BAY,2.632754342431762,0.1467857142857143,6.947890818858561,373600.0
-122.24,37.84,1177.0,555.0,52.0,5.1773,NEAR BAY,2.120720720720721,0.16265230943610087,6.358558558558559,389500.0
-122.24,37.85,901.0,367.0,52.0,7.2354,NEAR BAY,2.455040871934605,0.139739663093415,7.11716621253406,391100.0
-122.22,37.85,2031.0,956.0,28.0,5.4570000000000025,NEAR BAY,2.1244769874476988,0.1982220540949499,5.5303347280334725,337300.0
-122.22,37.84,1031.0,479.0,50.0,7.5,NEAR BAY,2.152400835073069,0.16115843270868824,6.127348643006263,295200.0
-122.21,37.84,1358.0,597.0,44.0,6.0194,NEAR BAY,2.274706867671692,0.174357476635514,5.735343383584589,292300.0
-122.21,37.83,1616.0,654.0,40.0,7.5544,NEAR BAY,2.470948012232416,0.13504307753957123,7.631498470948012,411500.0
-122.2,37.84,844.0,343.0,30.0,6.0666,NEAR BAY,2.4606413994169096,0.15649027589326098,6.446064139941691,311500.0
-122.21,37.84,1140.0,496.0,34.0,7.0548,NEAR BAY,2.2983870967741935,0.16129032258064516,6.125,325900.0
-122.19,37.84,533.0,194.0,18.0,11.6017,NEAR BAY,2.747422680412371,0.12987012987012986,8.335051546391753,392600.0
-122.2,37.84,1072.0,443.0,35.0,7.4882,NEAR BAY,2.419864559819413,0.16055846422338568,6.467268623024831,319300.0
-122.21,37.83,1627.0,766.0,34.0,6.8976,NEAR BAY,2.1240208877284594,0.15557749259624876,6.6122715404699735,333300.0
-122.19,37.83,463.0,190.0,28.0,8.2049,NEAR BAY,2.4368421052631577,0.138763197586727,6.978947368421053,335200.0
-122.2,37.83,542.0,211.0,26.0,8.401,NEAR BAY,2.5687203791469195,0.14033983637507866,7.530805687203792,351200.0
-122.19,37.83,661.0,269.0,29.0,6.8538,NEAR BAY,2.45724907063197,0.15131211613623674,6.657992565055762,368900.0
-122.19,37.82,635.0,263.0,32.0,8.317,NEAR BAY,2.414448669201521,0.1438692098092643,6.977186311787072,365900.0
-122.2,37.82,420.0,176.0,37.0,7.0175,NEAR BAY,2.3863636363636362,0.14727420667209112,6.982954545454546,366700.0
-122.2,37.82,1265.0,500.0,39.0,6.3302,NEAR BAY,2.53,0.14164456233421752,7.54,362800.0
-122.18,37.81,126.0,52.0,30.0,6.3624,NEAR BAY,2.423076923076923,0.13013698630136986,5.615384615384615,483300.0
-122.21,37.82,813.0,350.0,52.0,7.0549,NEAR BAY,2.322857142857143,0.14021052631578948,6.785714285714286,331400.0
-122.2,37.81,1067.0,426.0,45.0,6.7851,NEAR BAY,2.504694835680751,0.14709851551956815,6.957746478873239,323500.0
-122.21,37.8,1260.0,552.0,50.0,2.8929,NEAR BAY,2.282608695652174,0.21355453582774445,5.132246376811594,216700.0
-122.21,37.8,951.0,487.0,38.0,3.0812,NEAR BAY,1.9527720739219712,0.23735581188997337,4.628336755646817,233100.0
-122.21,37.81,510.0,224.0,52.0,5.2402,NEAR BAY,2.2767857142857144,0.15262778977681785,6.200892857142857,296400.0
-122.22,37.81,765.0,308.0,52.0,6.5217,NEAR BAY,2.4837662337662336,0.16996448503297817,6.39935064935065,273700.0
-122.22,37.8,1129.0,460.0,52.0,3.2632,NEAR BAY,2.4543478260869565,0.21300961978928082,4.745652173913044,227700.0
-122.22,37.8,1073.0,441.0,52.0,3.0298,NEAR BAY,2.433106575963719,0.20297462817147857,5.183673469387755,199600.0
-122.22,37.8,1185.0,515.0,52.0,4.5428,NEAR BAY,2.3009708737864076,0.1988239617787578,5.283495145631068,239800.0
-122.22,37.81,756.0,340.0,52.0,4.072,NEAR BAY,2.223529411764706,0.1674901185770751,5.952941176470588,270100.0
-122.22,37.81,1034.0,521.0,52.0,5.3509,NEAR BAY,1.9846449136276392,0.18206521739130435,5.65067178502879,302100.0
-122.23,37.8,787.0,459.0,52.0,3.1603,NEAR BAY,1.7145969498910676,0.23905558288243975,4.429193899782135,269500.0
-122.23,37.81,612.0,213.0,52.0,4.7708,NEAR BAY,2.8732394366197185,0.159804605722261,6.727699530516432,314700.0
-122.22,37.81,1021.0,380.0,52.0,8.1564,NEAR BAY,2.6868421052631577,0.13734198838401093,7.7026315789473685,390100.0
-122.23,37.81,861.0,258.0,52.0,8.8793,NEAR BAY,3.3372093023255816,0.126133909287257,8.972868217054264,410300.0
-122.24,37.81,953.0,327.0,52.0,6.8591,NEAR BAY,2.914373088685015,0.12595573440643862,7.599388379204893,352400.0
-122.24,37.81,634.0,256.0,52.0,6.0302,NEAR BAY,2.4765625,0.1597315436241611,5.8203125,287300.0
-122.23,37.81,878.0,352.0,52.0,7.507999999999999,NEAR BAY,2.4943181818181817,0.1297085998578536,7.994318181818182,348700.0
-122.24,37.81,918.0,483.0,52.0,2.7477,NEAR BAY,1.9006211180124224,0.26278069756330624,4.333333333333333,243800.0
-122.24,37.8,360.0,175.0,52.0,2.1944,NEAR BAY,2.057142857142857,0.1891891891891892,5.074285714285714,211500.0
-122.25,37.8,1197.0,488.0,52.0,3.0149,NEAR BAY,2.4528688524590163,0.24436990896023,4.276639344262295,218400.0
-122.24,37.81,1048.0,518.0,52.0,3.675,NEAR BAY,2.023166023166023,0.19976124154397135,4.851351351351352,269900.0
-122.25,37.81,1373.0,747.0,46.0,3.225,NEAR BAY,1.8380187416331994,0.2583539603960396,4.326639892904953,218800.0
-122.25,37.8,1715.0,1015.0,42.0,2.9345,NEAR BAY,1.6896551724137931,0.25849514563106796,4.059113300492611,225000.0
-122.25,37.8,1359.0,722.0,43.0,2.1429,NEAR BAY,1.8822714681440442,0.3350253807106599,3.2742382271468142,250000.0
-122.25,37.8,1062.0,413.0,41.0,1.6121,NEAR BAY,2.5714285714285716,0.318830727396329,3.5617433414043584,171400.0
-122.25,37.8,1335.0,773.0,29.0,1.3929,NEAR BAY,1.7270375161707632,0.3500810372771475,3.1927554980595083,193800.0
-122.24,37.79,1171.0,429.0,27.0,2.3173,NEAR BAY,2.7296037296037294,0.3014705882352941,3.804195804195804,125000.0
-122.25,37.79,1475.0,460.0,45.0,1.7772,NEAR BAY,3.2065217391304346,0.2945128779395297,3.882608695652174,97500.0
-122.25,37.79,742.0,196.0,50.0,2.6458,NEAR BAY,3.7857142857142856,0.2988871224165342,3.2091836734693877,125000.0
-122.25,37.79,1086.0,363.0,52.0,2.181,NEAR BAY,2.9917355371900825,0.29200896191187453,3.6887052341597797,138800.0
-122.25,37.8,1645.0,543.0,36.0,2.2303,NEAR BAY,3.029465930018416,0.36114421930870083,3.0902394106813995,116700.0
-122.25,37.8,1710.0,644.0,43.0,1.6504,NEAR BAY,2.6552795031055902,0.27602389078498296,3.639751552795031,151800.0
-122.24,37.8,731.0,228.0,52.0,2.2697,NEAR BAY,3.206140350877193,0.2289156626506024,4.368421052631579,127000.0
-122.24,37.8,1118.0,347.0,52.0,2.1563,NEAR BAY,3.2219020172910664,0.23444374607165305,4.585014409221902,128600.0
-122.24,37.8,1006.0,335.0,52.0,2.1348,NEAR BAY,3.002985074626866,0.2509457755359395,4.7343283582089555,140600.0
-122.24,37.8,1213.0,554.0,47.0,2.6292,NEAR BAY,2.1895306859205776,0.2873900293255132,3.693140794223827,182700.0
-122.23,37.8,772.0,257.0,52.0,2.3833,NEAR BAY,3.0038910505836576,0.2424496644295302,4.638132295719845,146900.0
-122.24,37.8,1321.0,401.0,52.0,2.957,NEAR BAY,3.29426433915212,0.23294509151414308,4.496259351620948,122800.0
-122.24,37.8,1487.0,677.0,49.0,2.5238,NEAR BAY,2.1964549483013296,0.2639182522903453,4.192023633677991,169300.0
-122.23,37.8,488.0,186.0,52.0,1.9375,NEAR BAY,2.6236559139784945,0.23499361430395913,4.209677419354839,126600.0
-122.23,37.8,949.0,392.0,51.0,1.9028,NEAR BAY,2.420918367346939,0.26037735849056604,4.0561224489795915,127900.0
-122.23,37.8,1149.0,415.0,50.0,2.25,NEAR BAY,2.7686746987951807,0.27491408934707906,4.20722891566265,123500.0
-122.23,37.8,844.0,280.0,52.0,2.3929,NEAR BAY,3.0142857142857142,0.2388178913738019,4.4714285714285715,111900.0
-122.23,37.79,4367.0,1231.0,43.0,2.1917,NEAR BAY,3.5475223395613322,0.2253899044105316,4.844029244516653,112800.0
-122.23,37.79,1659.0,412.0,52.0,2.9357,NEAR BAY,4.026699029126213,0.22153673583847447,4.327669902912621,107900.0
-122.23,37.79,1011.0,263.0,30.0,1.8854,NEAR BAY,3.844106463878327,0.26426426426426425,3.7984790874524714,137500.0
-122.24,37.79,1464.0,389.0,39.0,2.1638,NEAR BAY,3.763496143958869,0.29339686861810754,3.776349614395887,105500.0
-122.24,37.79,1237.0,303.0,47.0,2.125,NEAR BAY,4.082508250825082,0.2879008746355685,4.528052805280528,95500.0
-122.24,37.79,647.0,168.0,52.0,3.375,NEAR BAY,3.8511904761904763,0.26706231454005935,4.011904761904762,116100.0
-122.24,37.79,1284.0,357.0,43.0,2.2542,NEAR BAY,3.596638655462185,0.23124231242312424,4.554621848739496,112200.0
-122.25,37.79,228.0,55.0,51.0,2.1,NEAR BAY,4.1454545454545455,0.24571428571428572,3.1818181818181817,75000.0
-122.25,37.79,381.0,123.0,39.0,1.6,NEAR BAY,3.097560975609756,0.279826464208243,3.747967479674797,112500.0
-122.25,37.79,846.0,227.0,52.0,3.625,NEAR BAY,3.7268722466960353,0.26274944567627495,3.973568281938326,125000.0
-122.26,37.8,1659.0,676.0,20.0,1.6929,NEAR BAY,2.4541420118343193,0.3282764433206911,3.510355029585799,115000.0
-122.22,37.77,520.0,138.0,52.0,1.6471,NEAR BAY,3.7681159420289854,0.3273657289002558,2.8333333333333335,95000.0
-122.22,37.77,866.0,259.0,52.0,2.59,NEAR BAY,3.3436293436293436,0.2647317502198769,4.38996138996139,96400.0
-122.23,37.77,612.0,183.0,52.0,2.57,NEAR BAY,3.3442622950819674,0.26788036410923277,4.202185792349726,72000.0
-122.23,37.78,415.0,126.0,52.0,2.6429,NEAR BAY,3.2936507936507935,0.3093220338983051,3.746031746031746,71300.0
-122.23,37.78,994.0,213.0,52.0,3.0257,NEAR BAY,4.666666666666667,0.2494199535962877,4.046948356807512,80800.0
-122.22,37.78,1525.0,477.0,50.0,1.4886,NEAR BAY,3.19706498951782,0.2760416666666667,4.0251572327044025,128800.0
-122.23,37.78,1506.0,438.0,43.0,1.9338,NEAR BAY,3.4383561643835616,0.3323943661971831,3.2420091324200913,112500.0
-122.23,37.78,1008.0,255.0,52.0,1.4844,NEAR BAY,3.9529411764705884,0.2616632860040568,3.8666666666666667,119400.0
-122.23,37.78,2813.0,751.0,44.0,1.6009,NEAR BAY,3.745672436750999,0.3525641025641026,3.1158455392809588,118100.0
-122.23,37.79,1481.0,343.0,48.0,2.0375,NEAR BAY,4.317784256559767,0.23349056603773585,4.944606413994169,122500.0
-122.23,37.79,859.0,219.0,49.0,2.293,NEAR BAY,3.922374429223744,0.18468085106382978,5.365296803652968,106300.0
-122.22,37.79,1608.0,523.0,37.0,2.1494,NEAR BAY,3.074569789674952,0.24498506188647035,4.479923518164436,132500.0
-122.23,37.79,425.0,140.0,30.0,1.6198,NEAR BAY,3.0357142857142856,0.23770491803278687,4.357142857142857,122700.0
-122.23,37.79,564.0,184.0,40.0,1.3281,NEAR BAY,3.0652173913043477,0.21397849462365592,5.054347826086956,113300.0
-122.22,37.79,961.0,272.0,44.0,3.5156,NEAR BAY,3.5330882352941178,0.21116341627437793,5.466911764705882,109500.0
-122.22,37.79,2273.0,685.0,52.0,3.9048,NEAR BAY,3.318248175182482,0.20151869158878505,4.998540145985402,164700.0
-122.21,37.79,600.0,195.0,52.0,3.0893,NEAR BAY,3.076923076923077,0.24934383202099739,3.9076923076923076,125000.0
-122.22,37.79,1647.0,527.0,46.0,2.6042,NEAR BAY,3.1252371916508537,0.24302620456466612,4.489563567362429,124700.0
